budget,popularity,revenue,runtime,vote_average,vote_count,release_year,genre_drama,genre_comedy,genre_thriller,genre_action,genre_romance,genre_adventure,genre_crime,genre_science fiction,genre_horror,genre_family,genre_fantasy,genre_mystery,genre_animation,genre_history,genre_music,genre_war,genre_documentary,genre_western,genre_foreign,genre_tv movie,lang_af,lang_ar,lang_cn,lang_cs,lang_da,lang_de,lang_el,lang_en,lang_es,lang_fa,lang_fr,lang_he,lang_hi,lang_hu,lang_id,lang_is,lang_it,lang_ja,lang_ko,lang_ky,lang_nb,lang_nl,lang_no,lang_pl,lang_ps,lang_pt,lang_ro,lang_ru,lang_sl,lang_sv,lang_ta,lang_te,lang_th,lang_tr,lang_vi,lang_xx,lang_zh,lang_af,lang_ar,lang_cn,lang_cs,lang_da,lang_de,lang_el,lang_en,lang_es,lang_fa,lang_fr,lang_he,lang_hi,lang_hu,lang_id,lang_is,lang_it,lang_ja,lang_ko,lang_ky,lang_nb,lang_nl,lang_no,lang_pl,lang_ps,lang_pt,lang_ro,lang_ru,lang_sl,lang_sv,lang_ta,lang_te,lang_th,lang_tr,lang_vi,lang_xx,lang_zh,success
150000000,21.939663,836297228,150.0,6.0,3138,2009,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
210000000,116.840296,1091405097,165.0,5.8,3095,2014,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,46.985445,491868548,130.0,5.7,3530,2013,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,89.270217,705717432,142.0,6.5,4179,2014,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
170000000,73.79505,400062763,125.0,6.3,2841,2010,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,49.98659,559852396,106.0,5.8,2033,2011,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,51.872839,219851172,114.0,5.1,2487,2011,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,59.995418,1066969703,103.0,7.6,4597,2010,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,71.862892,371353001,115.0,5.9,2463,2009,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
190000000,102.322217,1506249360,137.0,7.3,4176,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
